# Add translations for curated AOI names. Only EEZ and IHO rows are included; USER and MPA names are intentionally excluded.
# All seeded locale cells are filled for curated rows; the migration still skips any future intentionally blank cell.
# locale: {"code":"en","english_name":"English","native_name":"English","text_direction":"ltr","fallback_code":null,"is_default":true,"is_active":true,"notes":"Canonical source language stored in base vocabulary tables."}
# locale: {"code":"es","english_name":"Spanish","native_name":"Español","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Initial Cerulean translation roster."}
# locale: {"code":"fr","english_name":"French","native_name":"Français","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Initial Cerulean translation roster."}
# locale: {"code":"pt","english_name":"Portuguese","native_name":"Português","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Initial Cerulean translation roster."}
# locale: {"code":"pt-br","english_name":"Brazilian Portuguese","native_name":"Português (Brasil)","text_direction":"ltr","fallback_code":"pt","is_default":false,"is_active":true,"notes":"Brazilian Portuguese locale seeded alongside generic Portuguese."}
# locale: {"code":"id","english_name":"Indonesian","native_name":"Bahasa Indonesia","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Requested as Bahasa; stored as locale code id."}
# locale: {"code":"sw","english_name":"Swahili","native_name":"Kiswahili","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Initial Cerulean translation roster."}
"source_locale","aoi_type_short_name","mrgid","source_name","source_checksum","es","fr","pt","pt-br","id","sw"
"en","EEZ","8398","Equatorial Guinean Exclusive Economic Zone","ea8fbeb407779b9d1d8a77fd3ac0c80a","Zona Económica Exclusiva de Guinea Ecuatorial","Zone économique exclusive de Guinée équatoriale","Zona Económica Exclusiva de Guiné Equatorial","Zona Econômica Exclusiva de Guiné Equatorial","Zona Ekonomi Eksklusif Guinea Khatulistiwa","Eneo la Kiuchumi la Kipekee la Guinea ya Ikweta"
"en","EEZ","8351","Eritrean Exclusive Economic Zone","22d22794a233f68884bf12fe3c2cff7b","Zona Económica Exclusiva de Eritrea","Zone économique exclusive d'Érythrée","Zona Económica Exclusiva de Eritreia","Zona Econômica Exclusiva de Eritreia","Zona Ekonomi Eksklusif Eritrea","Eneo la Kiuchumi la Kipekee la Eritrea"
"en","EEZ","5675","Estonian Exclusive Economic Zone","c4fb4d84d69785096e39fde4413f3c58","Zona Económica Exclusiva de Estonia","Zone économique exclusive d'Estonie","Zona Económica Exclusiva de Estónia","Zona Econômica Exclusiva de Estónia","Zona Ekonomi Eksklusif Estonia","Eneo la Kiuchumi la Kipekee la Estonia"
"en","EEZ","8435","Faeroe Exclusive Economic Zone","2c6ab998f3dc355eedeb6b94a9a56fb2","Zona Económica Exclusiva de las islas Feroe","Zone économique exclusive des îles Féroé","Zona Económica Exclusiva das ilhas Faroé","Zona Econômica Exclusiva das ilhas Faroé","Zona Ekonomi Eksklusif Kepulauan Faroe","Eneo la Kiuchumi la Kipekee la Visiwa vya Faroe"
"en","EEZ","8325","Fijian Exclusive Economic Zone","a9ca5526365325bbaf94abffaacc3901","Zona Económica Exclusiva de Fiyi","Zone économique exclusive de Fidji","Zona Económica Exclusiva de Fiji","Zona Econômica Exclusiva de Fiji","Zona Ekonomi Eksklusif Fiji","Eneo la Kiuchumi la Kipekee la Fiji"
"en","EEZ","5676","Finnish Exclusive Economic Zone","e45516d0ac7d336df09e801d5188b832","Zona Económica Exclusiva de Finlandia","Zone économique exclusive de Finlande","Zona Económica Exclusiva de Finlândia","Zona Econômica Exclusiva de Finlândia","Zona Ekonomi Eksklusif Finlandia","Eneo la Kiuchumi la Kipekee la Ufini"
"en","EEZ","5677","French Exclusive Economic Zone","90d8599dabf64a5c1d66fceb14a5d6ff","Zona Económica Exclusiva de Francia","Zone économique exclusive de France","Zona Económica Exclusiva de França","Zona Econômica Exclusiva de França","Zona Ekonomi Eksklusif Prancis","Eneo la Kiuchumi la Kipekee la Ufaransa"
"en","EEZ","8462","French Guiana Exclusive Economic Zone","f22630bc54eb3a2b08a3517e3e8bc74e","Zona Económica Exclusiva de Guayana Francesa","Zone économique exclusive de Guyane française","Zona Económica Exclusiva de Guiana Francesa","Zona Econômica Exclusiva de Guiana Francesa","Zona Ekonomi Eksklusif Guyana Prancis","Eneo la Kiuchumi la Kipekee la Guyana ya Kifaransa"
"en","EEZ","8440","French Polynesian Exclusive Economic Zone","73806135be7fa9c4a71098225577a7a7","Zona Económica Exclusiva de Polinesia Francesa","Zone économique exclusive de Polynésie française","Zona Económica Exclusiva de Polinésia Francesa","Zona Econômica Exclusiva de Polinésia Francesa","Zona Ekonomi Eksklusif Polinesia Prancis","Eneo la Kiuchumi la Kipekee la Polinesia ya Kifaransa"
"en","EEZ","8476","Gabonese Exclusive Economic Zone","bcf3c8b2b5cc008cdcc3f5c28ac6373d","Zona Económica Exclusiva de Gabón","Zone économique exclusive de Gabon","Zona Económica Exclusiva de Gabão","Zona Econômica Exclusiva de Gabão","Zona Ekonomi Eksklusif Gabon","Eneo la Kiuchumi la Kipekee la Gabon"
"en","EEZ","8370","Gambian Exclusive Economic Zone","662d9ca61373a4932947a345b63515b8","Zona Económica Exclusiva de Gambia","Zone économique exclusive de Gambie","Zona Económica Exclusiva de Gâmbia","Zona Econômica Exclusiva de Gâmbia","Zona Ekonomi Eksklusif Gambia","Eneo la Kiuchumi la Kipekee la Gambia"
"en","EEZ","5678","Georgian Exclusive Economic Zone","4f01827a848ccdf824bc20c1a399e2d6","Zona Económica Exclusiva de Georgia","Zone économique exclusive de Géorgie","Zona Económica Exclusiva de Geórgia","Zona Econômica Exclusiva de Geórgia","Zona Ekonomi Eksklusif Georgia","Eneo la Kiuchumi la Kipekee la Georgia"
"en","EEZ","5669","German Exclusive Economic Zone","165b4baa1689d902e7e943a9e0ee77c5","Zona Económica Exclusiva de Alemania","Zone économique exclusive d'Allemagne","Zona Económica Exclusiva de Alemanha","Zona Econômica Exclusiva de Alemanha","Zona Ekonomi Eksklusif Jerman","Eneo la Kiuchumi la Kipekee la Ujerumani"
"en","EEZ","8400","Ghanaian Exclusive Economic Zone","d7553612930b7c4cb43af46acf4d2106","Zona Económica Exclusiva de Ghana","Zone économique exclusive de Ghana","Zona Económica Exclusiva de Gana","Zona Econômica Exclusiva de Gana","Zona Ekonomi Eksklusif Ghana","Eneo la Kiuchumi la Kipekee la Ghana"
"en","EEZ","5679","Greek Exclusive Economic Zone","af9e31ccae7864b5b33e8e057977926f","Zona Económica Exclusiva de Grecia","Zone économique exclusive de Grèce","Zona Económica Exclusiva de Grécia","Zona Econômica Exclusiva de Grécia","Zona Ekonomi Eksklusif Yunani","Eneo la Kiuchumi la Kipekee la Ugiriki"
"en","EEZ","8438","Greenlandic Exclusive Economic Zone","28f27c2743794f875f3836e946ff10b4","Zona Económica Exclusiva de Groenlandia","Zone économique exclusive de Groenland","Zona Económica Exclusiva de Groenlândia","Zona Econômica Exclusiva de Groenlândia","Zona Ekonomi Eksklusif Greenland","Eneo la Kiuchumi la Kipekee la Grinlandi"
"en","EEZ","8419","Grenadian Exclusive Economic Zone","33e4f272b178497a90f040eb0aea251f","Zona Económica Exclusiva de Granada","Zone économique exclusive de Grenade","Zona Económica Exclusiva de Granada","Zona Econômica Exclusiva de Granada","Zona Ekonomi Eksklusif Grenada","Eneo la Kiuchumi la Kipekee la Grenada"
"en","EEZ","33177","Guadeloupean Exclusive Economic Zone","59e025c7109287c756369349b93424ca","Zona Económica Exclusiva de Guadalupe","Zone économique exclusive de Guadeloupe","Zona Económica Exclusiva de Guadalupe","Zona Econômica Exclusiva de Guadalupe","Zona Ekonomi Eksklusif Guadeloupe","Eneo la Kiuchumi la Kipekee la Guadeloupe"
"en","EEZ","48957","Guam Exclusive Economic Zone","0d59c490156d8600539ecbb5369ef025","Zona Económica Exclusiva de Guam","Zone économique exclusive de Guam","Zona Económica Exclusiva de Guam","Zona Econômica Exclusiva de Guam","Zona Ekonomi Eksklusif Guam","Eneo la Kiuchumi la Kipekee la Guam"
"en","EEZ","8430","Guatemalan Exclusive Economic Zone","5afed41da4ffd9796675140c1c1627ea","Zona Económica Exclusiva de Guatemala","Zone économique exclusive de Guatemala","Zona Económica Exclusiva de Guatemala","Zona Econômica Exclusiva de Guatemala","Zona Ekonomi Eksklusif Guatemala","Eneo la Kiuchumi la Kipekee la Guatemala"
"en","EEZ","21788","Guernsey Exclusive Economic Zone","95d2f84b30cbbc362c1ceaf1caa565f4","Zona Económica Exclusiva de Guernsey","Zone économique exclusive de bailliage de Guernesey","Zona Económica Exclusiva de Guernsey","Zona Econômica Exclusiva de Guernsey","Zona Ekonomi Eksklusif Bailiwick of Guernsey","Eneo la Kiuchumi la Kipekee la Guernsey"
"en","EEZ","8471","Guinea Bissau Exclusive Economic Zone","1bdd36d2f3629ce96bae4c18dc9b706e","Zona Económica Exclusiva de Guinea-Bisáu","Zone économique exclusive de Guinée-Bissau","Zona Económica Exclusiva de Guiné-Bissau","Zona Econômica Exclusiva de Guiné-Bissau","Zona Ekonomi Eksklusif Guinea-Bissau","Eneo la Kiuchumi la Kipekee la Ginebisau"
"en","EEZ","8472","Guinean Exclusive Economic Zone","68b99438c61a6af869c5a3b6c951725e","Zona Económica Exclusiva de Guinea","Zone économique exclusive de Guinea","Zona Económica Exclusiva de Guinea","Zona Econômica Exclusiva de Guinea","Zona Ekonomi Eksklusif Guinea","Eneo la Kiuchumi la Kipekee la Guinea"
"en","EEZ","8460","Guyanese Exclusive Economic Zone","b2df297e4950a2988dc59a155a5c4569","Zona Económica Exclusiva de Guyana","Zone économique exclusive de Guyana","Zona Económica Exclusiva de Guiana","Zona Econômica Exclusiva de Guiana","Zona Ekonomi Eksklusif Guyana","Eneo la Kiuchumi la Kipekee la Guyana"
"en","EEZ","8408","Haitian Exclusive Economic Zone","3ff5b16b0d16c1d134964a25824c57a5","Zona Económica Exclusiva de Haití","Zone économique exclusive de Haïti","Zona Económica Exclusiva de Haiti","Zona Econômica Exclusiva de Haiti","Zona Ekonomi Eksklusif Haiti","Eneo la Kiuchumi la Kipekee la Haiti"
"en","EEZ","8388","Heard and McDonald Islands Exclusive Economic Zone","850b19b213ce2f70e032acdaf07d9cf1","Zona Económica Exclusiva de las islas Heard y McDonald","Zone économique exclusive des îles Heard-et-MacDonald","Zona Económica Exclusiva das ilhas Heard e McDonald","Zona Econômica Exclusiva das ilhas Heard e McDonald","Zona Ekonomi Eksklusif Pulau Heard dan Kepulauan McDonald","Eneo la Kiuchumi la Kipekee la Visiwa vya Heard na McDonald"
"en","EEZ","63203","High Seas","d4086ea5feeb69668c5eb78ec9be8ad0","alta mar","haute mer","alto-mar","alto-mar","laut lepas","bahari kuu"
"en","EEZ","8427","Honduran Exclusive Economic Zone","5c6d58cdeb5b86ad71ef184ac0166137","Zona Económica Exclusiva de Honduras","Zone économique exclusive de Honduras","Zona Económica Exclusiva de Honduras","Zona Econômica Exclusiva de Honduras","Zona Ekonomi Eksklusif Honduras","Eneo la Kiuchumi la Kipekee la Honduras"
"en","EEZ","8451","Howland and Baker Islands Exclusive Economic Zone","20fd74efb30f375b658230bc1af1b2f1","Zona Económica Exclusiva de las islas Howland y Baker","Zone économique exclusive des îles Howland et Baker","Zona Económica Exclusiva das ilhas Howland e Baker","Zona Econômica Exclusiva das ilhas Howland e Baker","Zona Ekonomi Eksklusif Pulau Howland dan Baker","Eneo la Kiuchumi la Kipekee la Visiwa vya Howland na Baker"
"en","EEZ","5680","Icelandic Exclusive Economic Zone","dd456a06e5921f27a36f8eebd3ca381e","Zona Económica Exclusiva de Islandia","Zone économique exclusive d'Islande","Zona Económica Exclusiva de Islândia","Zona Econômica Exclusiva de Islândia","Zona Ekonomi Eksklusif Islandia","Eneo la Kiuchumi la Kipekee la Iceland"
"en","EEZ","8341","Ile Europa Exclusive Economic Zone","54afbbffe807e80ea78f14c8c40b4b64","Zona Económica Exclusiva de la isla Europa","Zone économique exclusive de l'île Europa","Zona Económica Exclusiva da ilha Europa","Zona Econômica Exclusiva da ilha Europa","Zona Ekonomi Eksklusif Pulau Europa","Eneo la Kiuchumi la Kipekee la Kisiwa cha Europa"
"en","EEZ","8480","Indian Exclusive Economic Zone","18acf19dfb7295923a329072585120b5","Zona Económica Exclusiva de India","Zone économique exclusive d'Inde","Zona Económica Exclusiva de Índia","Zona Econômica Exclusiva de Índia","Zona Ekonomi Eksklusif India","Eneo la Kiuchumi la Kipekee la Uhindi"
"en","EEZ","8333","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","2e85c3e5657dde2ddcbc4caae7e70acc","Zona Económica Exclusiva de las islas Andamán y Nicobar","Zone économique exclusive des îles Andaman-et-Nicobar","Zona Económica Exclusiva das ilhas Andamão e Nicobar","Zona Econômica Exclusiva das ilhas Andamão e Nicobar","Zona Ekonomi Eksklusif Kepulauan Andaman dan Nikobar","Eneo la Kiuchumi la Kipekee la Visiwa vya Andaman na Nicobar"
"en","EEZ","8492","Indonesian Exclusive Economic Zone","294ce90e6b7ab0d4cc8e5e374f53c0b2","Zona Económica Exclusiva de Indonesia","Zone économique exclusive d'Indonésie","Zona Económica Exclusiva de Indonésia","Zona Econômica Exclusiva de Indonésia","Zona Ekonomi Eksklusif Indonesia","Eneo la Kiuchumi la Kipekee la Indonesia"
"en","EEZ","8469","Iranian Exclusive Economic Zone","412b2272a10d1960ced39c1ed3eaab18","Zona Económica Exclusiva de Irán","Zone économique exclusive d'Iran","Zona Económica Exclusiva de Irão","Zona Econômica Exclusiva de Irão","Zona Ekonomi Eksklusif Iran","Eneo la Kiuchumi la Kipekee la Uajemi"
"en","EEZ","8470","Iraqi Exclusive Economic Zone","a0c31b8e2dc96e225d8a888eb2403a91","Zona Económica Exclusiva de Irak","Zone économique exclusive d'Irak","Zona Económica Exclusiva de Iraque","Zona Econômica Exclusiva de Iraque","Zona Ekonomi Eksklusif Irak","Eneo la Kiuchumi la Kipekee la Iraq"
"en","EEZ","5681","Irish Exclusive Economic Zone","f69bfd2fb16834b434ee19ea08a06626","Zona Económica Exclusiva de Irlanda","Zone économique exclusive d'Irlande","Zona Económica Exclusiva de República da Irlanda","Zona Econômica Exclusiva de República da Irlanda","Zona Ekonomi Eksklusif Republik Irlandia","Eneo la Kiuchumi la Kipekee la Eire"
"en","EEZ","8375","Israeli Exclusive Economic Zone","26fefc77907ce5d9a4e3525cb3d101de","Zona Económica Exclusiva de Israel","Zone économique exclusive d'Israël","Zona Económica Exclusiva de Israel","Zona Econômica Exclusiva de Israel","Zona Ekonomi Eksklusif Israel","Eneo la Kiuchumi la Kipekee la Israel"
"en","EEZ","5682","Italian Exclusive Economic Zone","cc1d6a8a34ac7282911539be87a3acdd","Zona Económica Exclusiva de Italia","Zone économique exclusive d'Italie","Zona Económica Exclusiva de Itália","Zona Econômica Exclusiva de Itália","Zona Ekonomi Eksklusif Italia","Eneo la Kiuchumi la Kipekee la Italia"
"en","EEZ","8473","Ivory Coast Exclusive Economic Zone","0cd4fa609808bb6d48bd1e5231cfe07e","Zona Económica Exclusiva de Costa de Marfil","Zone économique exclusive de Côte d'Ivoire","Zona Económica Exclusiva de Costa do Marfim","Zona Econômica Exclusiva de Costa do Marfim","Zona Ekonomi Eksklusif Pantai Gading","Eneo la Kiuchumi la Kipekee la Kodivaa"
"en","EEZ","8459","Jamaican Exclusive Economic Zone","66bed6bb3554910775b175cac2bcbdf5","Zona Económica Exclusiva de Jamaica","Zone économique exclusive de Jamaïque","Zona Económica Exclusiva de Jamaica","Zona Econômica Exclusiva de Jamaica","Zona Ekonomi Eksklusif Jamaika","Eneo la Kiuchumi la Kipekee la Jamaika"
"en","EEZ","8437","Jan Mayen Exclusive Economic Zone","fb11328f7a5bfc694bf0329ce03f27aa","Zona Económica Exclusiva de Jan Mayen","Zone économique exclusive de Jan Mayen","Zona Económica Exclusiva de Jan Mayen","Zona Econômica Exclusiva de Jan Mayen","Zona Ekonomi Eksklusif Jan Mayen","Eneo la Kiuchumi la Kipekee la Jan Mayen"
"en","EEZ","8487","Japanese Exclusive Economic Zone","7157767702a782d9821f41bb63e180e8","Zona Económica Exclusiva de Japón","Zone économique exclusive de Japon","Zona Económica Exclusiva de Japão","Zona Econômica Exclusiva de Japão","Zona Ekonomi Eksklusif Jepang","Eneo la Kiuchumi la Kipekee la Japani"
"en","EEZ","8442","Jarvis Island Exclusive Economic Zone","dc7125321a93a2ea357f1273eab01211","Zona Económica Exclusiva de la Isla Jarvis","Zone économique exclusive de l'île Jarvis","Zona Económica Exclusiva da Ilha Jarvis","Zona Econômica Exclusiva da Ilha Jarvis","Zona Ekonomi Eksklusif Pulau Jarvis","Eneo la Kiuchumi la Kipekee la Jarvis Island"
"en","EEZ","21789","Jersey Exclusive Economic Zone","55c4c58606575f93c26a635fe5124df5","Zona Económica Exclusiva de Jersey","Zone économique exclusive de Jersey","Zona Económica Exclusiva de Jersey","Zona Econômica Exclusiva de Jersey","Zona Ekonomi Eksklusif Jersey","Eneo la Kiuchumi la Kipekee la Jersey"
"en","EEZ","8452","Johnston Atoll Exclusive Economic Zone","319a025a8927a23d0a97a31687a68fb5","Zona Económica Exclusiva del Atolón Johnston","Zone économique exclusive de l'atoll Johnston","Zona Económica Exclusiva do Atol Johnston","Zona Econômica Exclusiva do Atol Johnston","Zona Ekonomi Eksklusif Atol Johnston","Eneo la Kiuchumi la Kipekee la Johnston Atoll"
"en","EEZ","48961","Joint regime area Argentina / Uruguay","d4a5fe3e4d852a8735a95a4a630477ac","Área de régimen conjunto Argentina / Uruguay","Zone de régime conjoint Argentine / Uruguay","Área de regime conjunto Argentina / Uruguai","Área de regime conjunto Argentina / Uruguai","Wilayah rezim bersama Argentina / Uruguay","Eneo la utawala wa pamoja Argentina / Uruguay"
"en","EEZ","48970","Joint regime area Colombia / Dominican Republic","fda7c18c5395c6410c5a458053601502","Área de régimen conjunto Colombia / la República Dominicana","Zone de régime conjoint Colombie / la République dominicaine","Área de regime conjunto Colômbia / a República Dominicana","Área de regime conjunto Colômbia / a República Dominicana","Wilayah rezim bersama Kolombia / Republik Dominika","Eneo la utawala wa pamoja Kolombia / Jamhuri ya Dominika"
"en","EEZ","21792","Joint regime area Colombia / Jamaica","905471bf6e94faf60ceb9d665376c3f9","Área de régimen conjunto Colombia / Jamaica","Zone de régime conjoint Colombie / Jamaïque","Área de regime conjunto Colômbia / Jamaica","Área de regime conjunto Colômbia / Jamaica","Wilayah rezim bersama Kolombia / Jamaika","Eneo la utawala wa pamoja Kolombia / Jamaika"
"en","EEZ","48968","Joint regime area Costa Rica / Ecuador (Galapagos)","56a4be86961ee7137796fcef77ff8d58","Área de régimen conjunto Costa Rica / Ecuador (Galápagos)","Zone de régime conjoint Costa Rica / Équateur (Galápagos)","Área de regime conjunto Costa Rica / Equador (Galápagos)","Área de regime conjunto Costa Rica / Equador (Galápagos)","Wilayah rezim bersama Kosta Rika / Ekuador (Galápagos)","Eneo la utawala wa pamoja Kosta Rika / Ekuador (Galápagos)"
"en","EEZ","50167","Joint regime area Croatia / Slovenia","c308c216b4df7b0d8bb33e9e59f6269c","Área de régimen conjunto Croacia / Eslovenia","Zone de régime conjoint Croatie / Slovénie","Área de regime conjunto Croácia / Eslovénia","Área de regime conjunto Croácia / Eslovénia","Wilayah rezim bersama Kroasia / Slovenia","Eneo la utawala wa pamoja Kroatia / Slovenia"
"en","EEZ","48974","Joint regime area Ecuador / Colombia","ca19ce45bd6c2acbd6d92ba68a98d670","Área de régimen conjunto Ecuador / Colombia","Zone de régime conjoint Équateur / Colombie","Área de regime conjunto Equador / Colômbia","Área de regime conjunto Equador / Colômbia","Wilayah rezim bersama Ekuador / Kolombia","Eneo la utawala wa pamoja Ekuador / Kolombia"
"en","EEZ","48969","Joint regime area Guyana / Barbados","f476f68b5ee7acc974b25ded37d86536","Área de régimen conjunto Guyana / Barbados","Zone de régime conjoint Guyana / Barbade","Área de regime conjunto Guiana / Barbados","Área de regime conjunto Guiana / Barbados","Wilayah rezim bersama Guyana / Barbados","Eneo la utawala wa pamoja Guyana / Barbados"
"en","EEZ","48972","Joint regime area Honduras / Cayman Islands","ca2c0afa204619cd9df660ecb33a2cf0","Área de régimen conjunto Honduras / islas Caimán","Zone de régime conjoint Honduras / îles Caïmans","Área de regime conjunto Honduras / ilhas Caimão","Área de regime conjunto Honduras / ilhas Caimão","Wilayah rezim bersama Honduras / Kepulauan Cayman","Eneo la utawala wa pamoja Honduras / Visiwa vya Cayman"
"en","EEZ","48973","Joint regime area Iceland / Denmark (Faeroe Islands)","d309a68e450e14c31df87e7cde4ef1a7","Área de régimen conjunto Islandia / Dinamarca (islas Feroe)","Zone de régime conjoint Islande / Danemark (îles Féroé)","Área de regime conjunto Islândia / Dinamarca (ilhas Faroé)","Área de regime conjunto Islândia / Dinamarca (ilhas Faroé)","Wilayah rezim bersama Islandia / Denmark (Kepulauan Faroe)","Eneo la utawala wa pamoja Iceland / Denmark (Visiwa vya Faroe)"
"en","EEZ","48975","Joint regime area Iceland / Norway (Jan Mayen)","d47e69f9b8f701c3d31bf55297053d74","Área de régimen conjunto Islandia / Noruega (Jan Mayen)","Zone de régime conjoint Islande / Norvège (Jan Mayen)","Área de regime conjunto Islândia / Noruega (Jan Mayen)","Área de regime conjunto Islândia / Noruega (Jan Mayen)","Wilayah rezim bersama Islandia / Norwegia (Jan Mayen)","Eneo la utawala wa pamoja Iceland / Norwei (Jan Mayen)"
"en","EEZ","48976","Joint regime area Italy / France","446b55bc058cb8316f2f3072db75edb1","Área de régimen conjunto Italia / Francia","Zone de régime conjoint Italie / France","Área de regime conjunto Itália / França","Área de regime conjunto Itália / França","Wilayah rezim bersama Italia / Prancis","Eneo la utawala wa pamoja Italia / Ufaransa"
"en","EEZ","21796","Joint regime area Japan / Korea","759ab146828d2583df466390577fdb0f","Área de régimen conjunto Japón / Corea","Zone de régime conjoint Japon / Corée","Área de regime conjunto Japão / Coreia","Área de regime conjunto Japão / Coreia","Wilayah rezim bersama Jepang / Korea","Eneo la utawala wa pamoja Japani / Korea"
"en","EEZ","21797","Joint regime area Nigeria / Sao Tome and Principe","be41a3a8f77ce80ed612232ff082ba2c","Área de régimen conjunto Nigeria / Santo Tomé y Príncipe","Zone de régime conjoint Nigeria / Sao Tomé-et-Principe","Área de regime conjunto Nigéria / São Tomé e Príncipe","Área de regime conjunto Nigéria / São Tomé e Príncipe","Wilayah rezim bersama Nigeria / Sao Tome dan Principe","Eneo la utawala wa pamoja Nigeria / Sao Tome na Principe"
"en","EEZ","48962","Joint regime area Peru / Ecuador","1808309f6235f0a1d8dc3f60be5b7643","Área de régimen conjunto Perú / Ecuador","Zone de régime conjoint Pérou / Équateur","Área de regime conjunto Peru / Equador","Área de regime conjunto Peru / Equador","Wilayah rezim bersama Peru / Ekuador","Eneo la utawala wa pamoja Peru / Ekuador"
"en","EEZ","48964","Joint regime area Senegal / Guinea Bissau","aaf0b68428fc8fefe3e40313028d6716","Área de régimen conjunto Senegal / Guinea-Bisáu","Zone de régime conjoint Sénégal / Guinée-Bissau","Área de regime conjunto Senegal / Guiné-Bissau","Área de regime conjunto Senegal / Guiné-Bissau","Wilayah rezim bersama Senegal / Guinea-Bissau","Eneo la utawala wa pamoja Senegal / Guinea Bisau"
"en","EEZ","48966","Joint regime area Spain / France","12a154186e7947766c7f06bafed9b612","Área de régimen conjunto España / Francia","Zone de régime conjoint Espagne / France","Área de regime conjunto Espanha / França","Área de regime conjunto Espanha / França","Wilayah rezim bersama Spanyol / Prancis","Eneo la utawala wa pamoja Uhispania / Ufaransa"
"en","EEZ","48977","Joint regime area Sweden / Norway","fae796da0eef5533624787ad21c0b57f","Área de régimen conjunto Suecia / Noruega","Zone de régime conjoint Suède / Norvège","Área de regime conjunto Suécia / Noruega","Área de regime conjunto Suécia / Noruega","Wilayah rezim bersama Swedia / Norwegia","Eneo la utawala wa pamoja Uswidi / Norwei"
"en","EEZ","48967","Joint regime area United Kingdom / Denmark (Faeroe Islands)","55bf21a04ca4dd1aa29626c694f64300","Área de régimen conjunto Reino Unido / Dinamarca (islas Feroe)","Zone de régime conjoint Royaume-Uni / Danemark (îles Féroé)","Área de regime conjunto Reino Unido / Dinamarca (ilhas Faroé)","Área de regime conjunto Reino Unido / Dinamarca (ilhas Faroé)","Wilayah rezim bersama Britania Raya / Denmark (Kepulauan Faroe)","Eneo la utawala wa pamoja Uingereza / Denmark (Visiwa vya Faroe)"
"en","EEZ","48978","Joint regime area United States / Russia","cddd72e1a0b3f09c958c3323157183f8","Área de régimen conjunto Estados Unidos / Rusia","Zone de régime conjoint États-Unis / Russie","Área de regime conjunto Estados Unidos / Rússia","Área de regime conjunto Estados Unidos / Rússia","Wilayah rezim bersama Amerika Serikat / Rusia","Eneo la utawala wa pamoja Marekani / Urusi"
"en","EEZ","8491","Jordanian Exclusive Economic Zone","96505e2c0087cc6e61edc96f471ab501","Zona Económica Exclusiva de Jordan","Zone économique exclusive de Jordan","Zona Económica Exclusiva de Jordan","Zona Econômica Exclusiva de Jordan","Zona Ekonomi Eksklusif Jordan","Eneo la Kiuchumi la Kipekee la Jordan"
"en","EEZ","8339","Juan de Nova Exclusive Economic Zone","d0277d4e5a31073494fd8fe632388ea1","Zona Económica Exclusiva de la isla Juan de Nova","Zone économique exclusive de l'île Juan de Nova","Zona Económica Exclusiva da ilha Juan de Nova","Zona Econômica Exclusiva da ilha Juan de Nova","Zona Ekonomi Eksklusif Pulau Juan de Nova","Eneo la Kiuchumi la Kipekee la Kisiwa cha Juan de Nova"
"en","EEZ","26522","Kazakh Exclusive Economic Zone","df0b6db7a79c6d714bd42e426ca76046","Zona Económica Exclusiva de Kazajistán","Zone économique exclusive de Kazakhstan","Zona Económica Exclusiva de Cazaquistão","Zona Econômica Exclusiva de Cazaquistão","Zona Ekonomi Eksklusif Kazakhstan","Eneo la Kiuchumi la Kipekee la Kazakhstan"
"en","EEZ","8349","Kenyan Exclusive Economic Zone","e578135eacd077264cf7bb7dad16e5d0","Zona Económica Exclusiva de Kenia","Zone économique exclusive de Kenya","Zona Económica Exclusiva de Quénia","Zona Econômica Exclusiva de Quénia","Zona Ekonomi Eksklusif Kenya","Eneo la Kiuchumi la Kipekee la Kenya"
"en","EEZ","8387","Kerguelen Exclusive Economic Zone","a1879cfe1b981198773d36c3f214449c","Zona Económica Exclusiva de Kerguelen","Zone économique exclusive de Kerguelen","Zona Económica Exclusiva de Kerguelen","Zona Econômica Exclusiva de Kerguelen","Zona Ekonomi Eksklusif Kerguelen","Eneo la Kiuchumi la Kipekee la Kerguelen"
"en","EEZ","8488","Kiribati Exclusive Economic Zone (Gilbert Islands)","10cced89cb5f58d7d133b17124b6fd91","Zona Económica Exclusiva de las Islas Gilbert","Zone économique exclusive des îles Gilbert","Zona Económica Exclusiva das Ilhas Gilbert","Zona Econômica Exclusiva das Ilhas Gilbert","Zona Ekonomi Eksklusif Kepulauan Gilbert","Eneo la Kiuchumi la Kipekee la Gilbert Islands"
"en","EEZ","8441","Kiribati Exclusive Economic Zone (Line Islands)","2dc1a1d90b7d3b9b06951c1bd4e5c1cf","Zona Económica Exclusiva de Line Group","Zone économique exclusive de Line Group","Zona Económica Exclusiva de Line Group","Zona Econômica Exclusiva de Line Group","Zona Ekonomi Eksklusif Line Group","Eneo la Kiuchumi la Kipekee la Line Group"
"en","EEZ","8450","Kiribati Exclusive Economic Zone (Phoenix Islands)","1190e6e31a71a6c47b40e5fc584416ae","Zona Económica Exclusiva de las islas Fénix","Zone économique exclusive des îles Phœnix","Zona Económica Exclusiva das ilhas Fénix","Zona Econômica Exclusiva das ilhas Fénix","Zona Ekonomi Eksklusif Kepulauan Phoenix","Eneo la Kiuchumi la Kipekee la Visiwa vya Phoenix"
